,Time.ka.BP,MIS.or.peak.age,is.0..ig.1..c.ig.2,filled.0.or.Open.1,Caloric.summer.insolation.at.65N.GJm.2,Elapsed.time.ka,Effective.energy.GJm.2
1,2590,103,1,0,6.09025866,43,6.18085966
2,2567,2567,0,0,5.822887904,23,5.871348904
3,2547,101,1,0,5.998926457,43,6.089527457
4,2515,2515,0,0,5.904427094,32,5.971851094
5,2502,99,1,0,5.981755073,45,6.076570073
6,2474,97,1,0,5.973467248,28,6.032463248
7,2463,2463,2,0,5.957745743,11,5.980922743
8,2422,95,1,0,5.947450275,52,6.057014275
9,2386,93,1,0,5.961286698,36,6.037138698
10,2348,91,1,0,6.105490801,38,6.185556801
11,2325,2325,0,0,5.836458747,23,5.884919747
12,2304,89,1,0,6.092094508,44,6.184802508
13,2257,87,1,0,5.977205629,47,6.076234629
14,2232,85,1,0,6.071345399,25,6.124020399
15,2212,2212,0,1,5.953347208,20,5.995487208
16,2188,83,1,0,6.06222254,44,6.15493054
17,2140,81,1,0,6.081350611,48,6.182486611
18,2118,2118,0,0,5.91502471,22,5.96137871
19,2098,79,1,0,6.035466382,42,6.123960382
20,2062,2062,0,0,5.940622767,36,6.016474767
21,2043,2043,0,0,5.808562627,55,5.924447627
22,2023,77,1,0,6.023045872,75,6.181070872
23,2004,2004,0,0,5.794203494,19,5.834236494
24,1985,75,1,0,5.962976933,38,6.043042933
25,1970,1970,0,0,5.926389847,15,5.957994847
26,1946,73,1,0,5.9874555,39,6.0696285
27,1927,1927,2,0,5.950470253,19,5.990503253
28,1901,71,1,1,5.937637516,45,6.032452516
29,1875,1875,0,0,5.896641807,26,5.951423807
30,1854,69,1,1,6.079482164,47,6.178511164
31,1832,67,2,1,5.958689886,22,6.005043886
32,1811,65,1,0,6.050604821,43,6.141205821
33,1781,63,1,0,5.922307359,30,5.985517359
34,1761,1761,2,0,5.981109608,20,6.023249608
35,1739,61,1,1,6.020130961,42,6.108624961
36,1719,1719,1,0,5.985411692,20,6.027551692
37,1697,59,1,0,5.94896125,22,5.99531525
38,1663,1663,0,0,5.875675225,34,5.947313225
39,1645,57,1,0,6.009572795,52,6.119136795
40,1624,1624,0,1,5.83625661,21,5.88050361
41,1606,55,1,0,6.059987417,39,6.142160417
42,1588,1588,0,0,5.824596727,18,5.862522727
43,1566,53,1,0,6.024770662,40,6.109050662
44,1548,1548,0,0,5.871318785,18,5.909244785
45,1527,51,1,0,5.951380537,39,6.033553537
46,1491,49,1,0,6.010778171,36,6.086630171
47,1475,1475,2,0,5.988472347,16,6.022184347
48,1450,47,1,0,6.033082222,41,6.119469222
49,1433,1433,2,0,5.974963882,17,6.010782882
50,1401,45,1,0,6.040985618,49,6.144228618
51,1378,1378,0,0,5.89088136,23,5.93934236
52,1359,43,1,0,6.097345071,42,6.185839071
53,1337,1337,0,0,5.908779563,22,5.955133563
54,1319,41,1,0,6.032526919,40,6.116806919
55,1282,39,1,0,6.066791268,37,6.144750268
56,1266,1266,0,0,5.868784143,16,5.902496143
57,1243,37,1,0,6.028331074,39,6.110504074
58,1227,1227,0,0,5.919009725,16,5.952721725
59,1204,1204,0,0,5.93259087,39,6.01476387
60,1190,35,1,0,5.964187294,53,6.075858294
61,1166,1166,2,0,6.016053692,24,6.066621692
62,1147,1147,0,0,5.925342444,43,6.015943444
63,1115,33,1,0,6.053264185,75,6.211289185
64,1093,1093,0,0,5.861079487,22,5.907433487
65,1073,31,1,0,6.13694343,42,6.22543743
66,1051,1051,0,0,5.928989571,22,5.975343571
67,1031,29,1,0,6.006327714,42,6.094821714
68,999,999,0,0,6.012288681,32,6.079712681
69,980,27,0,0,5.966031197,51,6.073488197
70,958,25,1,0,6.090452995,73,6.244263995
71,937,937,0,0,5.913365533,21,5.957612533
72,911,23,0,0,5.993165774,47,6.092194774
73,885,885,0,0,5.871199512,73,6.025010512
74,866,21e,1,0,6.033493824,92,6.227337824
75,843,843,0,0,5.891655451,23,5.940116451
76,825,825,0,0,5.949472635,41,6.035859635
77,807,807,0,0,5.829357497,59,5.953670497
78,787,19c,1,0,5.988367165,79,6.154820165
79,770,770,0,0,5.829956471,17,5.865775471
80,747,747,0,0,5.930541228,40,6.014821228
81,737,737,0,0,5.950839696,50,6.056189696
82,712,712,0,0,5.925932924,75,6.083957924
83,694,17,1,0,6.021982441,93,6.217933441
84,671,671,0,0,5.925807448,23,5.974268448
85,652,652,0,0,5.915592989,42,6.004086989
86,620,15e,1,0,6.035700904,74,6.191618904
87,599,15c,0,0,5.907917244,21,5.952164244
88,578,15a,1,0,6.091728172,42,6.180222172
89,557,557,0,0,5.810367444,21,5.854614444
90,535,13c,0,0,5.996267089,43,6.086868089
91,505,505,0,0,5.939321304,73,6.093132304
92,486,13a,1,0,5.979764667,92,6.173608667
93,462,462,0,0,5.938907293,24,5.989475293
