"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"1",1,3.23,3.23
"2",3,3.235,3.235
"3",5,3.28,3.28
"4",7,3.35,3.35
"5",9,3.4,3.4
"6",11,3.56,3.56
"7",13,3.99,3.99
"8",15,4.385,4.385
"9",17,4.815,4.815
"10",19,4.99,4.99
"11",21,4.95,4.95
"12",23,4.87,4.87
"13",25,4.815,4.815
"14",27,4.71,4.71
"15",29,4.74,4.74
"16",31,4.62,4.62
"17",33,4.59,4.59
"18",35,4.565,4.565
"19",37,4.455,4.455
"20",39,4.48,4.48
"21",41,4.53,4.53
"22",43,4.48,4.48
"23",45,4.405,4.405
"24",47,4.37,4.37
"25",49,4.455,4.455
"26",51,4.335,4.335
"27",53,4.375,4.375
"28",55,4.345,4.345
"29",57,4.39,4.39
"30",59,4.46,4.46
"31",61,4.555,4.555
"32",63,4.565,4.565
"33",65,4.42,4.42
"34",67,4.505,4.505
"35",69,4.445,4.445
"36",71,4.27,4.27
"37",73,4.22,4.22
"38",75,3.99,3.99
"39",77,4.07,4.07
"40",79,4.05,4.05
"41",81,3.86,3.86
"42",83,3.815,3.815
"43",85,3.885,3.885
"44",87,4.12,4.12
"45",89,4.095,4.095
"46",91,4.045,4.045
"47",93,3.94,3.94
"48",95,3.805,3.805
"49",97,3.79,3.79
"50",99,3.84,3.84
"51",101,3.865,3.865
"52",103,3.87,3.87
"53",105,3.885,3.885
"54",107,4.02,4.02
"55",109,4.115,4.115
"56",111,4.03,4.03
"57",113,3.98,3.98
"58",115,3.76,3.76
"59",117,3.56,3.56
"60",119,3.37,3.37
"61",121,3.265,3.265
"62",123,3.14,3.14
"63",125,3.205,3.205
"64",127,3.265,3.265
"65",129,3.805,3.805
"66",131,3.74,3.74
"67",133,4.305,4.305
"68",135,4.78,4.78
"69",137,4.81,4.81
"70",139,4.88,4.88
"71",141,4.895,4.895
"72",143,4.765,4.765
"73",145,4.78,4.78
"74",147,4.795,4.795
"75",149,4.73,4.73
"76",151,4.705,4.705
"77",153,4.63,4.63
"78",155,4.585,4.585
"79",157,4.76,4.76
"80",159,4.675,4.675
"81",161,4.67,4.67
"82",163,4.68,4.68
"83",165,4.68,4.68
"84",167,4.445,4.445
"85",169,4.49,4.49
"86",171,4.515,4.515
"87",173,4.42,4.42
"88",175,4.3,4.3
"89",177,4.425,4.425
"90",179,4.46,4.46
"91",181,4.425,4.425
"92",183,4.425,4.425
"93",185,4.495,4.495
"94",187,4.435,4.435
"95",189,4.425,4.425
"96",191,4.205,4.205
"97",193,3.84,3.84
"98",195,3.875,3.875
"99",197,3.78,3.78
"100",199,3.695,3.695
"101",201,3.53,3.53
"102",203,3.62,3.62
"103",205,3.8,3.8
"104",207,3.775,3.775
"105",209,3.675,3.675
"106",211,3.585,3.585
"107",213,3.63,3.63
"108",215,3.55,3.55
"109",217,3.505,3.505
"110",219,3.83,3.83
"111",221,4.105,4.105
"112",223,4.41,4.41
"113",225,4.335,4.335
"114",227,4.24,4.24
"115",229,4.105,4.105
"116",231,4.26,4.26
"117",233,4.07,4.07
"118",235,3.775,3.775
"119",237,3.565,3.565
"120",239,3.475,3.475
"121",241,3.49,3.49
"122",243,3.73,3.73
"123",245,4.11,4.11
"124",247,4.345,4.345
"125",249,4.37,4.37
"126",251,4.54,4.54
"127",253,4.575,4.575
"128",255,4.47,4.47
"129",257,4.49,4.49
"130",259,4.515,4.515
"131",261,4.49,4.49
"132",263,4.455,4.455
"133",265,4.43,4.43
"134",267,4.5,4.5
"135",269,4.425,4.425
"136",271,4.505,4.505
"137",273,4.44,4.44
"138",275,4.38,4.38
"139",277,4.37,4.37
"140",279,4.27,4.27
"141",281,4.175,4.175
"142",283,3.925,3.925
"143",285,3.85,3.85
"144",287,3.855,3.855
"145",289,4.04,4.04
"146",291,4.105,4.105
"147",293,4.245,4.245
"148",295,4.32,4.32
"149",297,4.265,4.265
"150",299,4.2,4.2
"151",301,4.04,4.04
"152",303,4.03,4.03
"153",305,4.07,4.07
"154",307,4.025,4.025
"155",309,3.855,3.855
"156",311,3.75,3.75
"157",313,3.74,3.74
"158",315,3.695,3.695
"159",317,3.79,3.79
"160",319,3.67,3.67
"161",321,3.595,3.595
"162",323,3.5,3.5
"163",325,3.26,3.26
"164",327,3.225,3.225
"165",329,3.21,3.21
"166",331,3.295,3.295
"167",333,3.385,3.385
"168",335,3.63,3.63
"169",337,4.155,4.155
"170",339,4.295,4.295
"171",341,4.72,4.72
"172",343,4.815,4.815
"173",345,4.775,4.775
"174",347,4.605,4.605
"175",349,4.555,4.555
"176",351,4.655,4.655
"177",353,4.47,4.47
"178",355,4.495,4.495
"179",357,4.505,4.505
"180",359,4.535,4.535
"181",361,4.52,4.52
"182",363,4.515,4.515
"183",365,4.41,4.41
"184",367,4.345,4.345
"185",369,4.39,4.39
"186",371,4.315,4.315
"187",373,4.355,4.355
"188",375,4.27,4.27
"189",377,4.205,4.205
"190",379,4.18,4.18
"191",381,4.17,4.17
"192",383,4.085,4.085
"193",385,4.11,4.11
"194",387,4.005,4.005
"195",389,3.905,3.905
"196",391,3.98,3.98
"197",393,3.915,3.915
"198",395,3.84,3.84
"199",397,3.595,3.595
"200",399,3.51,3.51
"201",401,3.26,3.26
"202",403,3.16,3.16
"203",405,3.155,3.155
"204",407,3.2,3.2
"205",409,3.195,3.195
"206",411,3.22,3.22
"207",413,3.345,3.345
"208",415,3.41,3.41
"209",417,3.54,3.54
"210",419,3.78,3.78
"211",421,3.81,3.81
"212",423,3.98,3.98
"213",425,4.11,4.11
"214",427,4.4,4.4
"215",429,4.815,4.815
"216",431,5.015,5.015
"217",433,5.065,5.065
"218",435,5.05,5.05
"219",437,4.985,4.985
"220",439,4.83,4.83
"221",441,4.855,4.855
"222",443,4.935,4.935
"223",445,4.865,4.865
"224",447,4.665,4.665
"225",449,4.75,4.75
"226",451,4.665,4.665
"227",453,4.645,4.645
"228",455,4.505,4.505
"229",457,4.625,4.625
"230",459,4.59,4.59
"231",461,4.575,4.575
"232",463,4.61,4.61
"233",465,4.505,4.505
"234",467,4.45,4.45
"235",469,4.445,4.445
"236",471,4.29,4.29
"237",473,4.34,4.34
"238",475,4.37,4.37
"239",477,4.285,4.285
"240",479,4.17,4.17
