"","Age.ka.BP","S05.d18O","detrended.S05.d18O"
"1",0,3.436,3.436
"2",3,3.375,3.375
"3",6,3.536,3.536
"4",9,3.743,3.743
"5",12,4.28,4.28
"6",15,4.859,4.859
"7",18,5.03,5.03
"8",21,5.031,5.031
"9",24,4.967,4.967
"10",27,4.958,4.958
"11",30,4.816,4.816
"12",33,4.567,4.567
"13",36,4.599,4.599
"14",39,4.467,4.467
"15",42,4.587,4.587
"16",45,4.573,4.573
"17",48,4.473,4.473
"18",51,4.51,4.51
"19",54,4.389,4.389
"20",57,4.635,4.635
"21",60,4.62,4.62
"22",63,4.622,4.622
"23",66,4.563,4.563
"24",69,4.479,4.479
"25",72,4.302,4.302
"26",75,4.239,4.239
"27",78,4.133,4.133
"28",81,4.033,4.033
"29",84,3.992,3.992
"30",87,4.13,4.13
"31",90,4.312,4.312
"32",93,4.275,4.275
"33",96,4.116,4.116
"34",99,4.114,4.114
"35",102,4.037,4.037
"36",105,4.07,4.07
"37",108,4.247,4.247
"38",111,4.325,4.325
"39",114,4.105,4.105
"40",117,3.823,3.823
"41",120,3.552,3.552
"42",123,3.308,3.308
"43",126,3.335,3.335
"44",129,3.823,3.823
"45",132,4.315,4.315
"46",135,4.482,4.482
"47",138,4.968,4.968
"48",141,4.817,4.817
"49",144,4.941,4.941
"50",147,4.87,4.87
"51",150,4.83,4.83
"52",153,4.825,4.825
"53",156,4.969,4.969
"54",159,4.701,4.701
"55",162,4.722,4.722
"56",165,4.636,4.636
"57",168,4.516,4.516
"58",171,4.376,4.376
"59",174,4.499,4.499
"60",177,4.601,4.601
"61",180,4.541,4.541
"62",183,4.648,4.648
"63",186,4.632,4.632
"64",189,4.441,4.441
"65",192,4.156,4.156
"66",195,4.073,4.073
"67",198,4.014,4.014
"68",201,3.951,3.951
"69",204,3.744,3.744
"70",207,3.919,3.919
"71",210,4.097,4.097
"72",213,3.885,3.885
"73",216,3.766,3.766
"74",219,3.961,3.961
"75",222,4.487,4.487
"76",225,4.611,4.611
"77",228,4.482,4.482
"78",231,4.37,4.37
"79",234,4.03,4.03
"80",237,3.757,3.757
"81",240,3.661,3.661
"82",243,3.871,3.871
"83",246,4.046,4.046
"84",249,4.408,4.408
"85",252,4.803,4.803
"86",255,4.801,4.801
"87",258,4.711,4.711
"88",261,4.706,4.706
"89",264,4.7,4.7
"90",267,4.72,4.72
"91",270,4.728,4.728
"92",273,4.667,4.667
"93",276,4.524,4.524
"94",279,4.498,4.498
"95",282,4.243,4.243
"96",285,4.022,4.022
"97",288,3.994,3.994
"98",291,3.973,3.973
"99",294,4.055,4.055
"100",297,4.307,4.307
"101",300,4.382,4.382
"102",303,4.307,4.307
"103",306,4.131,4.131
"104",309,4.115,4.115
"105",312,4.022,4.022
"106",315,3.925,3.925
"107",318,3.99,3.99
"108",321,3.997,3.997
"109",324,3.631,3.631
"110",327,3.312,3.312
"111",330,3.335,3.335
"112",333,3.452,3.452
"113",336,4.024,4.024
"114",339,4.429,4.429
"115",342,4.762,4.762
"116",345,4.817,4.817
"117",348,4.742,4.742
"118",351,4.586,4.586
"119",354,4.542,4.542
"120",357,4.493,4.493
"121",360,4.454,4.454
"122",363,4.425,4.425
"123",366,4.321,4.321
"124",369,4.256,4.256
"125",372,4.284,4.284
"126",375,4.21,4.21
"127",378,4.146,4.146
"128",381,4.182,4.182
"129",384,4.13,4.13
"130",387,4.037,4.037
"131",390,3.935,3.935
"132",393,3.92,3.92
"133",396,3.889,3.889
"134",399,3.642,3.642
"135",402,3.359,3.359
"136",405,3.199,3.199
"137",408,3.358,3.358
"138",411,3.41,3.41
"139",414,3.7,3.7
"140",417,4.021,4.021
"141",420,4.158,4.158
"142",423,4.352,4.352
"143",426,4.719,4.719
"144",429,4.861,4.861
"145",432,5.026,5.026
"146",435,5.04,5.04
"147",438,4.741,4.741
"148",441,4.7,4.7
"149",444,4.769,4.769
"150",447,4.69,4.69
"151",450,4.53,4.53
"152",453,4.795,4.795
