"","Time.ka.BP","MIS.or.peak.age","is.0..ig.1..c.ig.2","filled.0.or.Open.1","Summer.solstice.insolation.at.65N.Wm.2","Elapsed.time.ka","Effective.energy.Wm.2"
"1",2590,"103",1,0,546.207054104423,45,572.082054104423
"2",2568,"2568",0,0,508.929113438493,22,521.579113438493
"3",2545,"101",1,0,525.752468468778,45,551.627468468778
"4",2519,"2519",0,0,509.513451088125,26,524.463451088125
"5",2499,"99",1,0,521.894732112412,46,548.344732112413
"6",2476,"97",1,0,516.510807196421,23,529.735807196421
"7",2460,"2460",2,0,508.953344096871,16,518.153344096871
"8",2436,"2436",0,0,498.434348277763,40,521.434348277763
"9",2421,"95",1,0,510.410885517397,55,542.035885517397
"10",2386,"93",1,0,508.373828682019,35,528.498828682019
"11",2368,"2368",0,0,492.909070844169,18,503.259070844169
"12",2347,"91",1,0,547.793813250142,39,570.218813250142
"13",2326,"2326",0,0,517.499709126476,21,529.574709126476
"14",2304,"89",1,0,545.597278858706,43,570.322278858706
"15",2278,"2278",0,0,503.988434664975,26,518.938434664975
"16",2255,"87",1,0,529.436381367651,49,557.611381367651
"17",2232,"85",1,0,557.427430709188,23,570.652430709188
"18",2211,"2211",0,1,539.318457406216,21,551.393457406216
"19",2188,"83",1,0,541.581975302474,44,566.881975302474
"20",2163,"2163",0,0,496.62477449901,25,510.99977449901
"21",2140,"81",1,0,545.499068591718,48,573.099068591718
"22",2118,"2118",0,0,531.683543267219,22,544.333543267219
"23",2097,"79",1,0,537.880654327688,43,562.605654327688
"24",2075,"2075",0,0,497.517294045141,22,510.167294045141
"25",2062,"2062",0,0,506.969518202315,35,527.094518202315
"26",2043,"2043",0,0,499.947151934595,54,530.997151934595
"27",2023,"77",1,0,529.633406690565,74,572.183406690565
"28",2003,"2003",0,0,497.560293501564,20,509.060293501564
"29",1985,"75",1,0,514.077729930137,38,535.927729930137
"30",1968,"1968",0,0,518.321989505737,17,528.096989505737
"31",1947,"73",1,0,534.442162069539,38,556.292162069539
"32",1926,"1926",2,0,527.157188069207,21,539.232188069207
"33",1903,"71",1,0,514.939733841,44,540.239733841
"34",1874,"1874",0,0,519.340067992322,29,536.015067992322
"35",1854,"69",1,1,558.087972683539,49,586.262972683539
"36",1832,"1832",2,1,542.686096296622,22,555.336096296622
"37",1811,"65",1,0,541.230440316482,43,565.955440316482
"38",1782,"63",1,0,511.418257264952,29,528.093257264952
"39",1760,"1760",2,0,536.061448235482,22,548.711448235481
"40",1739,"61",1,1,550.679563564352,43,575.404563564352
"41",1719,"1719",1,0,537.696417208623,20,549.196417208623
"42",1697,"59",1,0,516.846624458286,22,529.496624458286
"43",1684,"1684",2,0,495.58542743773,13,503.06042743773
"44",1664,"1664",0,0,506.573617342405,33,525.548617342405
"45",1645,"57",1,0,531.681337568571,52,561.581337568571
"46",1625,"1625",0,1,510.851447965786,20,522.351447965786
"47",1606,"55",1,0,536.380859624381,39,558.805859624381
"48",1587,"1587",0,0,508.144495714671,19,519.069495714671
"49",1567,"53",1,0,535.645752362368,39,558.070752362368
"50",1547,"1547",0,0,513.011295025917,20,524.511295025917
"51",1527,"51",1,0,512.345636107595,40,535.345636107595
"52",1514,"1514",0,0,501.703740860694,13,509.178740860694
"53",1493,"49",1,0,534.906459620728,34,554.456459620728
"54",1474,"1474",2,0,544.647260589776,19,555.572260589776
"55",1452,"47",1,0,549.15063924962,41,572.72563924962
"56",1432,"1432",2,0,527.009338184345,20,538.509338184345
"57",1401,"45",1,0,526.144546296933,51,555.469546296933
"58",1379,"1379",0,0,526.924424396993,22,539.574424396993
"59",1359,"43",1,0,562.467342449224,42,586.617342449224
"60",1338,"1338",0,0,530.207369344799,21,542.282369344799
"61",1318,"41",1,0,528.447683872095,41,552.022683872095
"62",1302,"1302",0,0,480.017156309669,16,489.217156309669
"63",1283,"39",1,0,533.681714060225,35,553.806714060225
"64",1264,"1264",0,0,519.200301942184,19,530.125301942184
"65",1243,"37",1,0,536.536828672316,40,559.536828672316
"66",1226,"1226",0,0,513.077824832873,17,522.852824832873
"67",1206,"1206",0,0,514.744439007506,37,536.019439007506
"68",1188,"35",1,0,526.281544446393,55,557.906544446393
"69",1167,"1167",2,0,537.461418795914,21,549.536418795914
"70",1147,"1147",0,0,519.438098773033,41,543.013098773033
"71",1114,"33",1,0,530.211472224307,74,572.761472224307
"72",1094,"1094",0,0,523.894730052521,20,535.394730052521
"73",1073,"31",1,0,568.507543309063,41,592.082543309063
"74",1051,"1051",0,0,535.551701686991,22,548.201701686991
"75",1030,"29",1,0,528.705153063529,43,553.430153063529
"76",1000,"1000",0,0,535.029221579281,30,552.279221579281
"77",979,"979",0,0,545.595618226836,51,574.920618226836
"78",958,"25",1,0,561.651380119597,72,603.051380119597
"79",937,"937",0,0,525.701265641712,21,537.776265641712
"80",911,"911",0,0,516.615201084518,47,543.640201084518
"81",885,"885",0,0,517.009596596474,73,558.984596596474
"82",865,"21e",1,0,542.482284704615,93,595.957284704615
"83",844,"844",0,0,517.71693910787,21,529.79193910787
"84",825,"825",0,0,515.499577870906,40,538.499577870906
"85",807,"807",0,0,499.884719434065,58,533.234719434065
"86",788,"19c",1,0,523.721306027165,77,567.996306027165
"87",768,"768",0,0,502.708078332092,20,514.208078332092
"88",750,"750",0,0,507.035806368488,38,528.885806368488
"89",735,"735",0,0,515.279321098557,53,545.754321098557
"90",713,"713",0,0,522.86304779635,75,565.98804779635
